Tanggal,Emas,IHSG,Minyak Mentah,Kurs USD/IDR
2018-01-02,574.362,6339.24,816051.475,13517.5
2018-01-03,568.486,6251.48,830649.14,13478.0
2018-01-04,570.713,6292.32,832391.235,13423.5
2018-01-05,569.908,6353.74,824248.32,13415.5
2018-01-08,569.747,6385.4,828817.845,13426.5
2018-01-09,566.742,6373.14,846025.0,13437.5
2018-01-10,569.905,6371.17,854158.305,13436.5
2018-01-11,571.297,6386.34,854888.1,13399.5
2018-01-12,576.691,6370.06,858630.0499999999,13353.5
2018-01-15,578.076,6382.19,863142.185,13334.5
2018-01-16,577.807,6429.69,849998.875,13337.5
2018-01-17,572.91,6444.52,854479.275,13357.5
2018-01-18,572.453,6472.67,853476.7000000001,13346.0
2018-01-19,572.192,6490.9,843676.495,13313.5
2018-01-22,573.893,6500.53,847432.775,13347.5
2018-01-23,576.961,6635.33,859062.75,13325.0
2018-01-24,582.718,6615.49,873498.735,13313.5
2018-01-25,577.93,6615.33,870529.6350000001,13288.5
2018-01-26,579.996,6660.62,880124.98,13307.0
2018-01-29,575.524,6680.62,876111.06,13363.5
2018-01-30,577.058,6575.49,866396.25,13432.5
2018-01-31,579.295,6605.63,866637.6050000001,13388.5
2018-02-01,581.4,6598.46,883496.6,13427.0
2018-02-02,575.52,6628.82,880400.675,13451.5
2018-02-05,581.839,6589.68,867628.7500000001,13525.0
2018-02-06,576.482,6478.54,859092.975,13552.5
2018-02-07,574.955,6534.87,837439.87,13553.0
2018-02-08,577.612,6544.63,831945.75,13605.0
2018-02-09,576.817,6505.52,806748.0,13627.5
2018-02-12,579.805,6523.45,809753.1749999999,13657.5
2018-02-13,584.296,6578.18,808387.4249999999,13657.5
2018-02-14,593.351,6594.4,825887.1,13628.5
2018-02-15,591.163,6591.58,831678.39,13558.5
2018-02-19,586.333,6689.29,845903.99,13560.5
2018-02-20,581.286,6662.88,842613.75,13612.5
2018-02-21,580.55,6643.4,839989.08,13618.5
2018-02-22,584.375,6593.06,858850.525,13682.5
2018-02-23,583.065,6619.8,868569.625,13667.5
2018-02-26,584.314,6554.67,873010.6,13660.0
2018-02-27,579.006,6598.93,861661.75,13675.0
2018-02-28,581.295,6597.22,847241.8,13745.0
2018-03-01,581.163,6606.05,838460.025,13747.5
2018-03-02,583.808,6582.32,842646.875,13757.5
2018-03-05,583.301,6550.59,861119.625,13762.5
2018-03-06,591.787,6500.11,862315.0,13775.0
2018-03-07,585.889,6368.27,841790.9,13766.0
2018-03-08,585.464,6443.02,828754.2,13785.0
2018-03-09,586.533,6433.32,854973.24,13781.0
2018-03-12,586.699,6500.69,844927.2,13770.0
2018-03-13,586.82,6412.85,834792.855,13750.5
2018-03-14,585.926,6382.62,837377.04,13736.5
2018-03-15,582.13,6321.9,841209.525,13747.5
2018-03-16,581.25,6304.95,857112.66,13749.0
2018-03-19,583.161,6289.57,854224.87,13764.5
2018-03-20,579.532,6243.58,871750.0,13750.0
2018-03-21,589.652,6312.83,896902.125,13762.5
2018-03-22,589.746,6254.07,884285.75,13752.5
2018-03-23,596.901,6210.7,907991.1,13782.5
2018-03-26,598.231,6200.17,900657.0,13740.0
2018-03-27,594.996,6209.35,896665.5,13742.0
2018-03-28,587.275,6140.84,886061.94,13763.0
2018-03-29,586.82,6188.99,893899.1,13765.0
2018-04-02,593.677,6240.57,866639.5399999999,13754.0
